order_id,user_id,order_timestamp,city,restaurant_name,cuisine,payment_method,quantity,order_value,discount,final_amount,delivery_rating
68,4297,2025-11-08 13:16:09,Mumbai,Burger Barn,Italian,UPI,2,400,20,380,5
69,7645,2025-10-30 03:11:46,Delhi,Tandoori House,Indian,CARD,1,300,50,250,1
70,2694,2025-11-03 16:26:48,Chennai,Pizza Planet,Italian,UPI,2,500,30,470,1
71,6478,2025-11-09 10:21:56,Bangalore,Burger Barn,Fast Food,CARD,2,400,30,370,1
72,1388,2025-11-13 13:16:52,Delhi,Spice Hub,Indian,UPI,4,800,20,780,5
73,7513,2025-11-13 13:35:30,Delhi,Burger Barn,Chinese,NET_BANKING,5,2500,20,2480,5
74,5957,2025-11-20 03:56:18,Hyderabad,Curry Palace,Chinese,NET_BANKING,4,1400,50,1350,3
75,3374,2025-11-03 18:19:08,Delhi,Noodle Nation,North Indian,COD,4,800,30,770,5
76,3786,2025-11-01 02:09:02,Delhi,Noodle Nation,Chinese,COD,4,2000,0,2000,4
77,1982,2025-11-02 11:55:19,Hyderabad,Spice Hub,Indian,UPI,5,2500,10,2490,4
78,5167,2025-11-03 01:57:03,Pune,Tandoori House,Indian,UPI,2,600,20,580,3
79,1037,2025-11-18 16:27:20,Delhi,Pizza Planet,North Indian,UPI,5,1750,50,1700,3
80,8311,2025-10-31 04:43:37,Hyderabad,Curry Palace,Italian,CARD,4,1000,10,990,5
81,5163,2025-11-25 10:23:41,Bangalore,Pizza Planet,Fast Food,COD,5,1000,10,990,1
82,7850,2025-11-08 23:59:47,Hyderabad,Burger Barn,Indian,UPI,1,250,10,240,5
83,7757,2025-11-11 08:41:45,Pune,Noodle Nation,Fast Food,UPI,5,1750,30,1720,2
84,8863,2025-10-28 07:12:57,Delhi,Burger Barn,Indian,CARD,5,750,50,700,4
85,6737,2025-11-02 02:37:14,Hyderabad,Curry Palace,North Indian,COD,3,600,20,580,4
86,2429,2025-11-14 23:09:24,Delhi,Tandoori House,Chinese,CARD,1,300,20,280,1
87,8678,2025-11-15 18:02:18,Chennai,Spice Hub,Chinese,CARD,3,900,50,850,3
88,5541,2025-11-22 00:01:01,Delhi,Noodle Nation,Fast Food,CARD,5,1500,10,1490,1
89,9404,2025-11-04 00:44:49,Mumbai,Tandoori House,Chinese,COD,5,1500,0,1500,5
90,1670,2025-11-25 19:41:29,Pune,Noodle Nation,North Indian,UPI,3,900,30,870,5
91,9980,2025-11-11 01:27:06,Delhi,Pizza Planet,Indian,CARD,4,1200,50,1150,1
92,8218,2025-11-15 17:08:57,Pune,Spice Hub,North Indian,UPI,4,800,10,790,3
93,1582,2025-11-10 23:18:19,Hyderabad,Curry Palace,Chinese,UPI,4,1400,10,1390,1
94,9363,2025-11-04 13:47:38,Chennai,Pizza Planet,North Indian,UPI,1,150,50,100,3
95,8394,2025-10-27 18:28:00,Bangalore,Burger Barn,Fast Food,CARD,3,900,10,890,3
96,1386,2025-11-02 16:45:36,Bangalore,Tandoori House,Fast Food,NET_BANKING,4,1600,10,1590,1
97,3059,2025-11-04 21:59:22,Mumbai,Curry Palace,North Indian,UPI,5,1750,20,1730,5
98,8801,2025-10-31 03:00:25,Delhi,Noodle Nation,Fast Food,NET_BANKING,1,300,30,270,3
99,5338,2025-10-29 06:55:25,Chennai,Burger Barn,North Indian,COD,4,600,20,580,1
100,3080,2025-11-22 15:44:39,Chennai,Burger Barn,Chinese,COD,5,1000,20,980,5
101,2576,2025-11-24 19:24:29,Delhi,Curry Palace,Italian,UPI,4,1000,0,1000,2
102,4417,2025-11-04 12:00:47,Pune,Noodle Nation,Indian,UPI,4,1600,10,1590,4
103,2852,2025-11-21 01:01:10,Pune,Noodle Nation,Chinese,UPI,3,1200,30,1170,1
104,5013,2025-11-19 05:41:24,Mumbai,Burger Barn,Indian,NET_BANKING,4,1400,20,1380,1
105,9417,2025-11-21 04:40:59,Mumbai,Pizza Planet,Fast Food,NET_BANKING,5,1750,20,1730,5
106,5144,2025-11-11 18:03:32,Delhi,Burger Barn,Indian,NET_BANKING,3,750,10,740,4
107,1434,2025-11-06 22:23:16,Chennai,Noodle Nation,Italian,UPI,3,900,50,850,1
108,4727,2025-11-04 13:51:12,Hyderabad,Spice Hub,North Indian,UPI,2,600,20,580,5
109,5842,2025-11-05 04:35:05,Mumbai,Tandoori House,Chinese,UPI,1,250,10,240,2
110,8646,2025-11-08 05:50:51,Chennai,Noodle Nation,Indian,COD,5,2000,50,1950,4
111,7209,2025-11-19 22:34:18,Pune,Curry Palace,Fast Food,NET_BANKING,3,900,50,850,4
112,4183,2025-11-16 08:13:18,Hyderabad,Spice Hub,Italian,CARD,2,1000,20,980,3
113,8975,2025-11-01 21:55:22,Chennai,Tandoori House,Fast Food,UPI,3,750,50,700,4
114,3337,2025-11-16 15:22:36,Hyderabad,Curry Palace,Italian,NET_BANKING,2,300,30,270,5
115,7639,2025-11-25 05:44:56,Pune,Pizza Planet,Indian,COD,5,1500,50,1450,2
116,1153,2025-11-12 15:05:29,Mumbai,Burger Barn,Chinese,COD,2,300,50,250,4
117,5242,2025-10-26 09:20:59,Chennai,Curry Palace,Fast Food,COD,4,600,50,550,5
118,9632,2025-10-31 00:24:42,Pune,Tandoori House,Indian,NET_BANKING,3,1200,50,1150,4
119,5610,2025-11-21 23:19:14,Hyderabad,Noodle Nation,Fast Food,COD,5,1000,50,950,1
120,4350,2025-11-22 00:09:24,Hyderabad,Burger Barn,Fast Food,NET_BANKING,4,1600,30,1570,4
121,8513,2025-10-30 12:29:13,Pune,Burger Barn,North Indian,CARD,5,2500,30,2470,2
122,2070,2025-11-08 11:21:07,Pune,Noodle Nation,Chinese,NET_BANKING,4,1000,0,1000,1
123,8772,2025-11-23 10:43:17,Chennai,Noodle Nation,Indian,CARD,4,2000,0,2000,3
124,1471,2025-11-22 01:44:26,Chennai,Pizza Planet,Italian,UPI,1,300,50,250,3
125,7775,2025-10-26 09:32:41,Chennai,Noodle Nation,North Indian,UPI,3,1200,30,1170,3
126,7936,2025-11-23 18:04:03,Bangalore,Pizza Planet,Indian,CARD,3,750,0,750,2
127,3834,2025-11-09 23:26:39,Chennai,Curry Palace,Italian,NET_BANKING,3,1050,0,1050,5
128,2953,2025-11-22 05:21:28,Hyderabad,Spice Hub,Chinese,COD,2,300,20,280,4
129,1964,2025-11-22 01:37:56,Hyderabad,Curry Palace,Indian,COD,5,1750,30,1720,2
130,9090,2025-11-07 16:54:29,Chennai,Spice Hub,Indian,CARD,2,300,20,280,4
131,8121,2025-11-14 16:01:02,Pune,Spice Hub,Italian,CARD,4,2000,10,1990,3
132,9531,2025-11-05 03:58:25,Hyderabad,Spice Hub,Italian,UPI,4,600,10,590,5
133,3921,2025-11-20 17:19:37,Mumbai,Curry Palace,North Indian,NET_BANKING,4,1200,50,1150,3
134,5160,2025-11-18 15:21:55,Delhi,Curry Palace,Fast Food,COD,5,1750,0,1750,1
135,5277,2025-11-02 11:43:12,Pune,Pizza Planet,Fast Food,COD,3,1200,50,1150,5
136,9533,2025-11-15 15:41:07,Delhi,Curry Palace,Italian,NET_BANKING,3,1200,30,1170,2
137,7858,2025-11-08 23:46:28,Chennai,Curry Palace,Italian,NET_BANKING,5,1250,10,1240,3
138,6552,2025-11-06 11:41:01,Delhi,Noodle Nation,Indian,UPI,4,1400,10,1390,2
139,4794,2025-11-01 05:55:48,Delhi,Burger Barn,Indian,UPI,3,1200,50,1150,5
140,6405,2025-11-12 18:45:39,Bangalore,Pizza Planet,Chinese,NET_BANKING,4,600,0,600,1
141,5692,2025-10-30 16:28:28,Pune,Tandoori House,North Indian,CARD,1,200,50,150,2
142,5940,2025-10-30 01:41:52,Hyderabad,Curry Palace,Italian,CARD,5,1500,30,1470,3
143,9904,2025-10-31 08:04:33,Bangalore,Tandoori House,North Indian,NET_BANKING,2,1000,20,980,5
144,4939,2025-10-26 08:58:19,Chennai,Spice Hub,Chinese,NET_BANKING,3,600,20,580,4
145,8366,2025-11-16 18:09:23,Mumbai,Pizza Planet,Italian,NET_BANKING,4,1400,20,1380,1
146,3527,2025-11-20 15:49:41,Pune,Tandoori House,Italian,NET_BANKING,3,750,0,750,2
147,5633,2025-11-09 04:24:13,Mumbai,Pizza Planet,North Indian,COD,5,1750,20,1730,3
148,4007,2025-11-09 00:46:10,Chennai,Tandoori House,Indian,NET_BANKING,5,1500,0,1500,3
149,9454,2025-11-15 13:08:42,Pune,Curry Palace,Fast Food,UPI,2,500,50,450,1
150,6012,2025-10-28 13:02:13,Hyderabad,Noodle Nation,Chinese,COD,1,400,10,390,3
151,1156,2025-11-19 13:13:23,Delhi,Burger Barn,Fast Food,CARD,2,700,30,670,2
152,3866,2025-11-21 06:37:18,Chennai,Noodle Nation,Chinese,COD,4,600,0,600,5
153,7725,2025-10-29 20:31:02,Pune,Tandoori House,Fast Food,COD,5,1250,20,1230,5
154,1625,2025-11-17 02:32:42,Bangalore,Tandoori House,North Indian,NET_BANKING,3,600,20,580,3
155,5233,2025-10-26 17:42:42,Mumbai,Spice Hub,Italian,UPI,1,500,50,450,1
156,3725,2025-11-14 23:45:28,Bangalore,Tandoori House,Italian,UPI,4,800,20,780,3
157,4962,2025-11-03 19:57:34,Mumbai,Tandoori House,Indian,UPI,3,750,30,720,3
158,9379,2025-11-13 01:10:38,Bangalore,Tandoori House,Indian,UPI,3,900,30,870,2
159,7316,2025-11-07 04:54:12,Mumbai,Tandoori House,Fast Food,UPI,4,1400,0,1400,2
160,2369,2025-11-21 03:40:05,Delhi,Tandoori House,Fast Food,UPI,4,800,30,770,2
161,5258,2025-11-17 10:34:42,Delhi,Tandoori House,Chinese,UPI,1,150,0,150,4
162,2093,2025-11-17 13:34:53,Delhi,Burger Barn,Italian,NET_BANKING,2,800,20,780,5
163,1207,2025-11-18 00:45:22,Bangalore,Spice Hub,Indian,COD,4,1400,0,1400,3
164,9765,2025-11-11 15:12:11,Mumbai,Noodle Nation,North Indian,CARD,1,200,20,180,1
165,2212,2025-10-31 09:35:21,Mumbai,Tandoori House,Italian,UPI,4,1200,10,1190,3
166,2005,2025-10-31 22:08:21,Chennai,Pizza Planet,Italian,CARD,5,2500,50,2450,3
167,1494,2025-10-27 00:04:51,Hyderabad,Burger Barn,Fast Food,NET_BANKING,5,750,0,750,4
168,7036,2025-11-07 05:09:46,Mumbai,Pizza Planet,Fast Food,CARD,3,900,30,870,5
169,8895,2025-11-25 11:05:41,Bangalore,Curry Palace,Chinese,CARD,5,2500,0,2500,1
170,2090,2025-11-15 04:50:39,Chennai,Burger Barn,Italian,CARD,4,600,50,550,2
171,4804,2025-11-21 23:33:21,Hyderabad,Noodle Nation,Indian,NET_BANKING,3,600,50,550,5
172,1472,2025-11-13 05:48:45,Mumbai,Burger Barn,Italian,COD,4,800,50,750,4
173,5427,2025-11-01 07:50:57,Hyderabad,Spice Hub,Chinese,CARD,3,450,30,420,1
174,2907,2025-10-27 14:36:10,Mumbai,Spice Hub,North Indian,UPI,1,350,20,330,2
175,8174,2025-11-14 08:20:16,Hyderabad,Curry Palace,Indian,UPI,2,700,0,700,3
176,7399,2025-11-19 06:23:56,Chennai,Pizza Planet,Chinese,COD,3,1050,0,1050,2
177,9714,2025-11-05 21:35:01,Hyderabad,Tandoori House,Chinese,NET_BANKING,5,1250,0,1250,2
178,6263,2025-11-22 01:53:57,Chennai,Curry Palace,Chinese,NET_BANKING,4,800,20,780,3
179,2807,2025-11-18 22:01:07,Chennai,Curry Palace,North Indian,NET_BANKING,2,400,30,370,4
180,9563,2025-11-12 21:39:35,Bangalore,Tandoori House,Chinese,CARD,5,750,30,720,4
181,8746,2025-10-31 11:17:59,Delhi,Noodle Nation,Fast Food,UPI,1,400,30,370,5
182,8164,2025-11-20 12:14:29,Pune,Spice Hub,Fast Food,NET_BANKING,3,450,0,450,2
183,1982,2025-11-24 09:20:24,Bangalore,Spice Hub,Fast Food,NET_BANKING,5,1250,20,1230,5
184,8141,2025-11-22 23:11:58,Mumbai,Burger Barn,Indian,COD,2,600,20,580,2
185,8111,2025-11-10 18:06:05,Mumbai,Burger Barn,Chinese,CARD,1,250,10,240,5
186,2269,2025-11-14 11:29:59,Bangalore,Noodle Nation,Indian,UPI,4,800,10,790,3
187,3532,2025-11-16 13:11:27,Mumbai,Tandoori House,Chinese,COD,1,350,50,300,3
188,8037,2025-11-17 23:19:53,Mumbai,Curry Palace,Italian,UPI,4,800,10,790,5
189,7535,2025-11-03 20:24:29,Mumbai,Curry Palace,North Indian,NET_BANKING,1,150,10,140,5
190,7480,2025-11-21 05:06:40,Hyderabad,Curry Palace,Italian,NET_BANKING,2,1000,0,1000,1
191,1828,2025-11-09 04:52:16,Bangalore,Tandoori House,Indian,COD,2,500,20,480,2
192,1197,2025-11-24 02:16:25,Delhi,Noodle Nation,Indian,CARD,3,600,0,600,3
193,4823,2025-11-20 11:35:29,Hyderabad,Spice Hub,Indian,CARD,4,1400,10,1390,5
194,5175,2025-11-10 01:15:59,Delhi,Noodle Nation,Chinese,CARD,1,200,30,170,2
195,2532,2025-10-31 20:44:30,Chennai,Burger Barn,Indian,NET_BANKING,3,1050,10,1040,3
196,7901,2025-11-18 02:39:11,Hyderabad,Spice Hub,Indian,COD,5,1500,20,1480,1
197,3465,2025-11-07 21:52:09,Chennai,Tandoori House,Indian,COD,4,2000,10,1990,5
198,1404,2025-11-05 20:39:10,Hyderabad,Pizza Planet,Italian,NET_BANKING,2,1000,50,950,2
199,6950,2025-11-21 01:12:14,Pune,Curry Palace,Indian,NET_BANKING,2,700,20,680,3
200,5417,2025-11-21 04:31:51,Chennai,Noodle Nation,Italian,NET_BANKING,2,600,30,570,1
201,7910,2025-10-26 19:28:25,Bangalore,Tandoori House,Fast Food,NET_BANKING,2,600,20,580,4
202,8993,2025-10-29 18:24:16,Hyderabad,Burger Barn,Italian,CARD,4,2000,20,1980,1
203,1536,2025-11-18 02:30:25,Pune,Curry Palace,Italian,NET_BANKING,1,500,50,450,5
204,3863,2025-11-09 21:17:10,Bangalore,Burger Barn,North Indian,NET_BANKING,1,200,50,150,1
205,6093,2025-11-15 05:38:12,Chennai,Burger Barn,North Indian,NET_BANKING,1,150,10,140,3
206,6635,2025-11-24 16:19:51,Hyderabad,Pizza Planet,Italian,COD,3,450,50,400,2
207,9793,2025-10-29 02:23:08,Pune,Curry Palace,Fast Food,CARD,4,1400,50,1350,5
208,1714,2025-11-17 06:00:03,Bangalore,Curry Palace,Italian,UPI,3,1200,30,1170,2
209,4224,2025-10-26 20:39:19,Bangalore,Burger Barn,Indian,NET_BANKING,3,600,30,570,2
210,8931,2025-11-25 05:32:02,Delhi,Burger Barn,Fast Food,CARD,2,400,50,350,3
211,4535,2025-11-24 01:43:30,Hyderabad,Pizza Planet,Indian,CARD,4,600,30,570,5
212,9025,2025-11-02 19:46:14,Chennai,Noodle Nation,Italian,NET_BANKING,5,1250,10,1240,3
213,4519,2025-11-06 01:37:18,Mumbai,Tandoori House,Chinese,CARD,3,750,20,730,1
214,8299,2025-10-28 18:51:26,Mumbai,Noodle Nation,Italian,NET_BANKING,1,400,20,380,2
215,5422,2025-11-23 21:11:12,Pune,Burger Barn,Italian,UPI,1,500,0,500,4
216,3482,2025-11-09 18:07:36,Delhi,Pizza Planet,Italian,UPI,5,1500,20,1480,5
217,3617,2025-11-21 04:21:17,Hyderabad,Curry Palace,Italian,COD,4,1600,50,1550,4
218,9031,2025-11-04 09:22:28,Chennai,Curry Palace,North Indian,NET_BANKING,3,750,30,720,5
219,3160,2025-11-24 09:44:13,Delhi,Spice Hub,Italian,NET_BANKING,4,1000,10,990,3
220,6210,2025-11-06 16:43:38,Hyderabad,Curry Palace,Indian,UPI,2,700,30,670,3
221,3651,2025-10-28 20:39:30,Hyderabad,Tandoori House,Indian,CARD,1,200,50,150,2
222,9887,2025-10-27 10:03:45,Hyderabad,Pizza Planet,North Indian,COD,4,1200,30,1170,2
223,4094,2025-11-05 00:30:31,Chennai,Pizza Planet,Chinese,COD,2,500,20,480,1
224,7778,2025-11-14 09:40:41,Chennai,Spice Hub,Indian,UPI,1,300,30,270,3
225,6003,2025-11-23 07:49:56,Pune,Curry Palace,Indian,CARD,5,1250,30,1220,3
226,5211,2025-11-13 15:45:19,Chennai,Spice Hub,Indian,NET_BANKING,2,500,50,450,2
227,8847,2025-11-01 12:05:10,Hyderabad,Spice Hub,Indian,CARD,2,700,50,650,5
228,5830,2025-11-17 21:49:17,Chennai,Pizza Planet,North Indian,NET_BANKING,3,900,20,880,2
229,5794,2025-11-18 02:01:24,Chennai,Noodle Nation,Indian,NET_BANKING,3,750,0,750,5
230,1482,2025-11-15 06:20:12,Mumbai,Curry Palace,Fast Food,CARD,4,600,30,570,1
231,2827,2025-10-27 08:04:09,Mumbai,Curry Palace,Fast Food,UPI,3,1500,30,1470,2
232,5463,2025-11-11 03:51:28,Delhi,Curry Palace,Italian,CARD,1,150,50,100,1
233,1561,2025-11-16 02:12:46,Bangalore,Noodle Nation,North Indian,CARD,5,1250,10,1240,1
234,2655,2025-11-22 07:29:06,Chennai,Spice Hub,Italian,CARD,1,200,0,200,5
235,7067,2025-11-18 11:23:57,Pune,Pizza Planet,Fast Food,COD,2,700,20,680,2
236,7969,2025-11-17 11:00:08,Bangalore,Pizza Planet,Fast Food,CARD,1,250,20,230,3
237,8337,2025-11-11 09:03:19,Chennai,Pizza Planet,North Indian,UPI,1,350,20,330,4
238,8257,2025-11-03 18:08:23,Delhi,Tandoori House,Fast Food,COD,5,1250,20,1230,2
239,2370,2025-11-12 22:26:33,Delhi,Tandoori House,North Indian,CARD,1,200,20,180,1
240,2275,2025-11-08 19:08:23,Hyderabad,Curry Palace,Italian,UPI,5,1500,30,1470,4
241,9545,2025-10-31 09:02:32,Bangalore,Burger Barn,Indian,COD,4,1000,0,1000,4
242,1916,2025-11-09 02:59:42,Bangalore,Pizza Planet,Indian,NET_BANKING,5,2000,10,1990,3
243,9962,2025-11-14 15:35:09,Pune,Pizza Planet,Fast Food,COD,2,300,10,290,3
244,7367,2025-10-31 14:42:56,Pune,Pizza Planet,Chinese,COD,3,1500,50,1450,5
245,3486,2025-11-03 10:18:29,Delhi,Burger Barn,Indian,UPI,4,2000,30,1970,3
246,2793,2025-10-28 18:38:26,Chennai,Pizza Planet,Fast Food,COD,1,400,10,390,3
247,2626,2025-11-01 08:42:48,Hyderabad,Spice Hub,Chinese,NET_BANKING,4,600,20,580,4
248,1087,2025-11-23 15:16:07,Hyderabad,Tandoori House,North Indian,NET_BANKING,1,350,30,320,3
249,4981,2025-10-31 21:49:58,Chennai,Curry Palace,Indian,UPI,5,1250,50,1200,5
250,9645,2025-11-25 19:14:39,Mumbai,Spice Hub,Indian,COD,5,2500,20,2480,3
251,4787,2025-11-24 04:08:07,Hyderabad,Spice Hub,Indian,COD,2,600,50,550,3
252,2978,2025-10-29 19:35:07,Bangalore,Noodle Nation,Italian,UPI,3,1500,10,1490,4
253,1405,2025-11-20 16:50:34,Mumbai,Spice Hub,Chinese,NET_BANKING,5,2000,50,1950,3
254,9135,2025-11-11 00:34:04,Chennai,Spice Hub,Fast Food,NET_BANKING,2,500,30,470,1
255,1631,2025-11-19 03:15:07,Chennai,Curry Palace,Chinese,CARD,1,350,20,330,2
256,9605,2025-11-13 04:54:25,Pune,Spice Hub,North Indian,CARD,4,1000,50,950,5
257,4221,2025-10-31 03:36:01,Bangalore,Spice Hub,Fast Food,NET_BANKING,2,700,20,680,5
258,5028,2025-11-21 14:18:25,Delhi,Tandoori House,Indian,UPI,4,1200,50,1150,2
259,6905,2025-11-17 05:47:43,Hyderabad,Pizza Planet,Indian,COD,4,600,0,600,5
260,5018,2025-11-25 03:15:08,Hyderabad,Pizza Planet,North Indian,CARD,3,750,30,720,2
261,6360,2025-11-06 09:53:01,Mumbai,Noodle Nation,North Indian,NET_BANKING,4,1600,20,1580,1
262,6249,2025-11-10 00:01:43,Delhi,Burger Barn,Fast Food,CARD,5,750,30,720,4
263,9915,2025-11-19 18:00:28,Mumbai,Pizza Planet,Fast Food,CARD,1,200,20,180,5
264,5083,2025-11-07 10:47:39,Bangalore,Burger Barn,Indian,NET_BANKING,3,1500,10,1490,5
265,2737,2025-11-05 06:12:16,Chennai,Noodle Nation,Italian,CARD,2,300,0,300,5
266,9366,2025-11-14 05:09:19,Delhi,Noodle Nation,Chinese,UPI,1,300,30,270,4
267,8369,2025-10-26 23:44:54,Hyderabad,Burger Barn,Fast Food,CARD,5,750,10,740,4
268,4872,2025-11-14 15:09:48,Pune,Spice Hub,North Indian,CARD,1,500,50,450,3
269,2171,2025-10-27 18:16:42,Chennai,Curry Palace,North Indian,CARD,5,1750,0,1750,4
270,6018,2025-11-23 13:39:06,Hyderabad,Spice Hub,Chinese,COD,3,1050,10,1040,3
